file_name,avg_softsweep_prob,avg_num_clones,degree,degree_variance,amplification,acc,connectivity,transitivity,connections
line_200,0.19217125624,34.15743,2.398,0.2435959999999999,0,0.0,1.3765872204333635e-05,0,200
line_255,0.19797073455999997,31.55105,2.508,0.253936,0,0.0,1.6326693544955572e-05,0,255
line_10,0.17700729644000002,39.97378,2.018,0.0216759999999999,0,0.0,5.151595492089698e-06,0,10
line_45,0.17963072255999998,39.52897,2.088,0.0842559999999999,0,0.0,5.9758216025637545e-06,0,45
line_388,0.22143237167999996,23.42779,2.774,0.178924,0,0.0,1.519160715556797e-05,0,388
line_322,0.20707992888,27.86911,2.642,0.2338359999999999,0,0.0,1.6032541514087533e-05,0,322
line_377,0.2188295846,24.26658,2.752,0.190496,0,0.0,1.5365000655368815e-05,0,377
line_406,0.22717155476,22.02555,2.81,0.1579,0,0.0,1.488817880800622e-05,0,406
line_453,0.24755563526000005,17.60255,2.904,0.090784,0,0.0,1.4032499855689792e-05,0,453
line_207,0.19264250347999998,33.87797,2.412,0.246256,0,0.0,1.4432943119360974e-05,0,207
line_252,0.19749066148000002,31.7238,2.502,0.253996,0,0.0,1.632950740507085e-05,0,252
line_17,0.17764449738,39.94408,2.032,0.034976,0,0.0,5.3021981071603745e-06,0,17
line_42,0.17946580729999997,39.57392,2.082,0.079276,0,0.0,5.897684397907785e-06,0,42
line_325,0.20799949850000002,27.69064,2.648,0.232096,0,0.0,1.6006178078753314e-05,0,325
line_370,0.21662826646000002,24.75607,2.738,0.197356,0,0.0,1.5469558017629107e-05,0,370
line_401,0.22478944566000003,22.45111,2.8,0.164,0,0.0,1.4974556745008503e-05,0,401
line_454,0.24786228342,17.50523,2.906,0.0891639999999999,0,0.0,1.4013943482735456e-05,0,454
line_190,0.19131992668,34.58937,2.378,0.239116,0,0.0,1.289031661319624e-05,0,190
line_197,0.19206725998000002,34.28927,2.392,0.242336,0,0.0,1.3494064873916372e-05,0,197
line_168,0.18936042296,35.54984,2.334,0.226444,0,0.0,1.1235514993698758e-05,0,168
line_414,0.22974333586,21.36218,2.826,0.1477239999999999,0,0.0,1.4747246281835686e-05,0,414
line_441,0.24141223562000003,18.88574,2.88,0.1096,0,0.0,1.4255045470129467e-05,0,441
line_330,0.20904368142,27.39605,2.658,0.229036,0,0.0,1.5959491433611284e-05,0,330
line_365,0.21590461746,25.11362,2.728,0.202016,0,0.0,1.5541189081758865e-05,0,365
line_212,0.19360790451999998,33.63846,2.422,0.247916,0,0.0,1.493956072976972e-05,0,212
line_247,0.19727719526,31.97932,2.492,0.253936,0,0.0,1.6333042239738357e-05,0,247
line_57,0.18091518982000002,39.22769,2.112,0.103456,0,0.0,6.3044291799214975e-06,0,57
line_413,0.22946853112,21.43912,2.824,0.1490239999999999,0,0.0,1.4765027514725307e-05,0,413
line_446,0.2439876051,18.35589,2.89,0.1019,0,0.0,1.4162394508635836e-05,0,446
line_337,0.21012698704000002,26.95656,2.672,0.2244160000000001,0,0.0,1.588841258966698e-05,0,337
line_362,0.21582312594,25.29093,2.722,0.204716,0,0.0,1.558287305967809e-05,0,362
line_215,0.19374786044,33.5039,2.428,0.2488159999999999,0,0.0,1.5256440920962957e-05,0,215
line_240,0.19647735276,32.30724,2.478,0.2535160000000001,0,0.0,1.6335989161874736e-05,0,240
line_50,0.18060749949999996,39.38816,2.098,0.092396,0,0.0,6.109544691428606e-06,0,50
