file_name,avg_softsweep_prob,avg_num_clones,degree,degree_variance,amplification,acc,connectivity,transitivity,radius
random_geometric_0.59_9,0.90449723144,1.76122,597.128,22816.103616,0.0,0.0,0.5033446767559483,0.7599943866218528,0.59
random_geometric_0.17_7,0.9049166909199999,1.75476,77.73,338.7391,0.0,0.0,0.0361280835166116,0.6228690574368051,0.17
random_geometric_0.55_2,0.9053269113200001,1.75869,543.05,21419.8435,0.0,0.0,0.4515529799116541,0.7395847267080443,0.55
random_geometric_0.11_1,0.9013285757800001,1.76965,34.532,72.604976,0.0,0.0,0.0150380232990939,0.6068789759226091,0.11
random_geometric_0.53_4,0.9045178797800001,1.759,521.32,20781.6016,0.0,0.0,0.4092087025888096,0.7318613686975907,0.53
random_geometric_0.46_4,0.9050952560800001,1.75876,432.384,14784.770544,0.0,0.0,0.3417375721039998,0.7006753968576857,0.46
random_geometric_0.5_10,0.9049776843800001,1.75323,473.916,16594.672944,0.0,0.0,0.3571376672409672,0.7168707044914443,0.5
random_geometric_0.55_5,0.9057446788799999,1.7575,546.598,20976.094395999997,0.0,0.0,0.4399873907957521,0.741208187861066,0.55
random_geometric_0.53_3,0.9053256422399999,1.75422,518.084,19140.044943999997,0.0,0.0,0.4186337200463462,0.729589614562496,0.53
random_geometric_0.46_3,0.9056170105999999,1.75269,416.404,12308.086784,0.0,0.0,0.3120379048977212,0.6986416213201472,0.46
random_geometric_0.11_6,0.90249822498,1.76814,34.466,67.24884399999999,0.0,0.0,0.0142870396485842,0.6018638669340569,0.11
random_geometric_0.99_7,0.90517730096,1.74765,968.016,1761.525744,0.0,0.0,0.9169490899496896,0.9727654643780062,0.99
random_geometric_0.1_9,0.89915118628,1.78954,28.516,44.255744,0.0,0.0,0.0108455561772263,0.6038928606759303,0.1
random_geometric_0.28_9,0.9039620011799999,1.75897,184.736,2187.398304,0.0,0.0,0.0979428527868035,0.6452754067445018,0.28
random_geometric_0.73_7,0.9043022840200001,1.75699,779.418,19274.377276,0.0,0.0,0.6919478866974351,0.849106947967887,0.73
random_geometric_0.66_7,0.9055100136199998,1.75647,690.108,22912.862336,0.0,0.0,0.5967025924052554,0.8024222657840753,0.66
random_geometric_0.24_2,0.9050011336599999,1.75442,147.224,1300.257824,0.0,0.0,0.0758828992875313,0.6330129656902901,0.24
random_geometric_0.31_2,0.90396864886,1.7541,228.06,3461.4364,0.0,0.0,0.1422005110371654,0.6532478205164872,0.31
random_geometric_0.75_1,0.9045245265,1.75281,794.968,18534.256976,0.0,0.0,0.7147692216539616,0.8582730037848534,0.75
random_geometric_0.37_4,0.9041103141600001,1.75619,304.952,8239.451696,0.0,0.0,0.2145086417343364,0.6631929928777923,0.37
random_geometric_0.22_4,0.90359068042,1.75921,123.628,794.607616,0.0,0.0,0.0608582961510184,0.630469884352494,0.22
random_geometric_0.57_10,0.90520187546,1.76037,590.282,24546.422476,0.0,0.0,0.5014423330623,0.758976976171529,0.57
random_geometric_0.24_5,0.9039672075999998,1.75678,149.728,1340.452016,0.0,0.0,0.0806542584535459,0.6338718494376641,0.24
random_geometric_0.31_5,0.90520066684,1.75287,228.528,4084.409216,0.0,0.0,0.144262620689361,0.6482505425017218,0.31
random_geometric_0.7_8,0.9047017277199999,1.75998,752.998,22043.967996,0.0,0.0,0.6639113169010507,0.8362132887316409,0.7
random_geometric_0.37_3,0.90401782236,1.75811,300.96,8168.694399999999,0.0,0.0,0.2231289139982498,0.6632379110553244,0.37
random_geometric_0.22_3,0.9043538937399997,1.753,121.68,712.3756,0.0,0.0,0.0614477017250464,0.6317511303382968,0.22
random_geometric_0.75_6,0.9052988049399999,1.75502,799.69,18780.9999,0.0,0.0,0.7137592577405916,0.8622074571188276,0.75
